DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
"131120",131120,Mk10,DS,3,0,3,106,106,04:40:05 04-Mar-2016,P,A,-63.9850,-56.7830,,,6,,401677465,-124,
"131120",131120,Mk10,DS,1,0,1,,,05:08:30 04-Mar-2016,K,B,-63.9840,-56.8040,,,6,,401677479,-130,
"131120",131120,Mk10,DS,1,0,1,,,05:08:30 04-Mar-2016,A,B,-63.9850,-56.7980,,,,,401677475,-133,
"131120",131120,Mk10,DS,1,0,1,,,06:08:35 04-Mar-2016,N,B,-63.9820,-56.8260,,,8,,401677474,-133,
"131120",131120,Mk10,DS,3,0,2,92,69,06:23:21 04-Mar-2016,P,A,-63.9840,-56.8780,,,8,,401677473,-126,
"131120",131120,Mk10,DS,4,0,3,110,47,07:51:58 04-Mar-2016,N,2,-64.0330,-56.9220,,,58,,401677465,-124,
"131120",131120,Mk10,DS,1,0,1,,,08:02:39 04-Mar-2016,P,B,-64.0340,-56.9270,,,6,,401677465,-139,
"131120",131120,Mk10,DS,2,0,2,125,125,08:28:04 04-Mar-2016,K,B,-64.0290,-56.9200,,,6,,401677465,-119,
"131120",131120,Mk10,DS,3,0,2,93,49,08:34:17 04-Mar-2016,R,A,-64.0150,-56.9030,,,8,,401677464,-132,
"131120",131120,Mk10,DS,3,0,2,182,88,10:04:12 04-Mar-2016,A,A,-64.0330,-56.7680,,,8,,401677474,-123,
"131120",131120,Mk10,DS,2,0,2,88,88,10:06:00 04-Mar-2016,K,B,-64.0330,-56.7740,,,6,,401677479,-128,
"131120",131120,Mk10,DS,2,0,2,169,169,10:12:41 04-Mar-2016,R,B,-64.0530,-56.9020,,,8,,401677470,-129,
"131120",131120,Mk10,DS,1,0,1,,,11:17:22 04-Mar-2016,N,B,-64.0550,-56.9100,,,8,,401677465,-135,
"131120",131120,Mk10,DS,5,0,3,131,53,11:40:29 04-Mar-2016,A,0,-64.0520,-56.8670,,,46,,401677463,-115,
"131120",131120,Mk10,DS,1,0,1,,,11:48:48 04-Mar-2016,K,B,-64.0530,-56.8690,,,6,,401677468,-137,
"131120",131120,Mk10,DS,7,0,3,79,50,11:53:50 04-Mar-2016,R,2,-64.0510,-56.8510,,,58,,401677465,-121,
"131120",131120,Mk10,DS,3,0,3,202,199,12:35:03 04-Mar-2016,B,A,-64.0600,-56.8170,,,8,,401677468,-132,
"131120",131120,Mk10,DS,5,0,1,138,55,13:21:12 04-Mar-2016,A,1,-64.0700,-56.8660,,,48,,401677464,-118,
"131120",131120,Mk10,DS,4,0,4,104,58,13:32:50 04-Mar-2016,R,1,-64.0740,-56.8910,,,58,,401677469,-124,
"131120",131120,Mk10,DS,1,0,1,,,15:03:20 04-Mar-2016,A,B,-64.0850,-56.8950,,,8,,401677467,-129,
"131120",131120,Mk10,DS,4,0,2,95,48,15:11:03 04-Mar-2016,R,1,-64.0770,-56.9250,,,58,,401677462,-130,
